Employee_ID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,OverTime,StressLevel,ManagerRating,PromotionInLast2Years,HealthScore,RemoteWork,Attrition
EMP00037,31,R&D,Research Scientist,5855,6,3,4,2,No,3,2,No,4,No,Yes
EMP00038,35,R&D,Research Scientist,7062,3,3,4,3,No,1,3,Yes,1,No,No
EMP00039,26,Sales,Sales Executive,5277,5,3,2,2,No,2,1,No,2,Yes,No
EMP00040,58,Marketing,Marketing Specialist,10965,7,3,1,2,No,1,3,No,2,No,No
EMP00041,22,R&D,Lab Technician,4061,1,4,4,4,Yes,4,1,No,1,Yes,Yes
EMP00042,45,R&D,Lab Technician,7684,7,3,4,1,Yes,2,1,No,5,No,No
EMP00043,29,Engineering,QA Engineer,6063,8,3,4,2,Yes,2,2,No,1,No,No
EMP00044,33,Sales,Account Manager,6475,1,1,3,1,No,3,3,Yes,1,No,No
EMP00045,52,HR,HR Specialist,10210,13,2,2,4,No,4,4,Yes,3,No,Yes
EMP00046,52,Engineering,Tech Lead,10756,14,1,4,2,No,3,3,No,2,No,Yes
EMP00047,34,Engineering,Software Engineer,6198,13,4,2,4,No,2,1,Yes,1,No,No
EMP00048,49,HR,HR Specialist,10247,9,3,3,4,No,2,3,No,1,No,No
EMP00049,45,Marketing,Marketing Specialist,8122,15,4,1,2,No,4,3,No,2,No,Yes
EMP00050,29,Sales,Sales Representative,5988,8,2,3,1,No,4,2,No,5,No,No
EMP00051,37,Sales,Account Manager,7068,7,1,1,4,No,3,3,No,1,No,No
EMP00052,45,Marketing,Brand Manager,8634,13,3,2,3,Yes,4,2,No,4,No,No
EMP00053,38,HR,HR Manager,6658,15,4,3,2,No,1,2,No,1,No,No
EMP00054,50,Engineering,QA Engineer,9483,6,2,1,2,Yes,1,4,No,5,Yes,No
EMP00055,25,R&D,Lab Technician,3729,4,3,1,2,No,1,2,No,4,No,No
EMP00056,59,R&D,R&D Director,10924,1,2,3,4,No,4,1,No,3,No,No
EMP00057,28,HR,HR Specialist,6181,7,2,3,2,No,4,3,No,3,Yes,Yes
EMP00058,24,R&D,Lab Technician,4111,3,4,2,4,No,3,1,No,2,No,Yes
EMP00059,50,R&D,Research Scientist,9424,8,1,1,2,No,4,3,Yes,1,Yes,Yes
EMP00060,36,Sales,Sales Representative,7488,12,1,2,2,No,2,2,No,4,No,No
EMP00061,28,HR,HR Specialist,4589,7,1,3,2,No,3,2,No,2,No,Yes
EMP00062,52,Sales,Account Manager,9462,12,3,4,3,Yes,4,2,No,4,No,Yes
EMP00063,45,HR,HR Manager,9516,7,4,4,1,No,1,4,No,4,No,No
EMP00064,50,Marketing,Brand Manager,9088,14,1,4,1,No,2,3,No,1,No,No
EMP00065,49,HR,HR Specialist,8524,13,1,2,3,No,4,4,No,4,No,No
EMP00066,28,R&D,R&D Director,5934,7,1,4,4,No,2,1,Yes,5,No,No
EMP00067,55,Sales,Account Manager,10561,11,4,2,3,Yes,1,1,No,2,Yes,Yes
EMP00068,23,R&D,R&D Director,4125,2,2,1,4,Yes,2,2,No,3,No,No
EMP00069,38,Engineering,Software Engineer,7246,6,3,4,2,No,2,1,No,2,No,No
EMP00070,32,Sales,Sales Representative,5562,11,4,3,2,No,1,3,No,4,Yes,No
EMP00071,52,HR,HR Manager,10293,3,1,4,3,No,1,3,Yes,2,No,No
EMP00072,25,Sales,Sales Representative,3807,4,1,3,2,No,1,3,No,4,Yes,No
EMP00073,26,Engineering,Software Engineer,4024,3,2,3,2,No,4,2,No,2,Yes,No
EMP00074,27,R&D,Research Scientist,5920,6,3,2,2,No,3,4,No,2,Yes,Yes
EMP00075,50,Marketing,Marketing Specialist,10021,10,2,1,1,No,3,4,No,5,No,Yes
EMP00076,51,Sales,Account Manager,10744,7,2,2,3,Yes,1,3,Yes,5,Yes,Yes
EMP00077,43,Sales,Sales Representative,8194,14,1,4,3,Yes,3,1,No,2,Yes,No
EMP00078,55,Engineering,Tech Lead,9638,11,2,3,2,No,2,4,No,5,Yes,No
EMP00079,32,R&D,Lab Technician,5365,7,1,1,4,No,4,2,No,1,Yes,No
EMP00080,47,Engineering,Tech Lead,9182,8,4,2,4,No,1,1,No,1,No,No
EMP00081,25,R&D,R&D Director,3887,4,3,4,4,No,3,1,No,5,No,No
EMP00082,58,Marketing,Brand Manager,11344,10,4,4,1,No,3,3,No,2,No,Yes
EMP00083,48,HR,HR Specialist,9773,15,2,1,4,Yes,2,1,No,1,No,Yes
EMP00084,35,HR,HR Specialist,5932,5,2,2,1,Yes,2,3,No,2,Yes,No
EMP00085,34,R&D,R&D Director,7001,1,3,1,3,No,4,4,No,5,Yes,Yes
EMP00086,50,HR,HR Manager,10182,5,1,3,1,Yes,4,4,No,3,No,Yes
EMP00087,43,Engineering,QA Engineer,9186,9,2,4,3,Yes,3,1,No,2,No,No
EMP00088,54,R&D,Research Scientist,9525,8,3,3,1,Yes,2,3,No,2,No,No
EMP00089,54,Sales,Sales Executive,9559,11,2,4,4,Yes,4,4,Yes,4,No,No
EMP00090,55,Marketing,Marketing Specialist,9671,7,2,4,2,No,4,4,No,1,Yes,No
EMP00091,44,HR,HR Specialist,8323,9,3,4,3,Yes,3,4,No,2,No,No
EMP00092,36,Engineering,Tech Lead,7606,9,3,3,2,No,4,3,No,2,Yes,No
EMP00093,49,Sales,Account Manager,9589,6,4,3,4,No,1,4,No,3,Yes,No
EMP00094,34,R&D,Research Scientist,6473,13,4,3,3,No,2,4,No,2,Yes,No
EMP00095,37,HR,HR Manager,6175,15,1,4,2,No,2,1,No,1,No,No
EMP00096,52,R&D,R&D Director,10692,10,3,2,2,No,2,1,Yes,5,No,No
EMP00097,52,Engineering,Tech Lead,10004,1,4,1,3,Yes,1,3,No,3,Yes,Yes
EMP00098,40,Engineering,Software Engineer,8056,14,1,1,1,No,4,1,Yes,1,Yes,Yes
EMP00099,32,Sales,Account Manager,5182,8,4,2,3,No,4,1,Yes,1,Yes,Yes
EMP00100,59,Marketing,Brand Manager,11610,3,3,4,1,No,4,1,No,2,Yes,Yes
EMP00101,32,HR,HR Manager,6061,5,3,1,4,No,4,3,Yes,5,No,No
EMP00102,33,Engineering,DevOps Specialist,5610,5,3,3,1,No,3,2,No,4,Yes,Yes
EMP00103,55,Sales,Sales Executive,10665,9,2,3,1,No,2,3,No,4,No,No
EMP00104,52,Sales,Account Manager,9205,2,1,1,2,Yes,4,4,No,5,No,Yes
EMP00105,51,Engineering,Software Engineer,9626,5,3,4,2,Yes,1,1,No,3,No,No
EMP00106,27,Sales,Sales Representative,4068,6,3,3,2,No,2,4,Yes,1,Yes,Yes
EMP00107,24,R&D,Research Scientist,4061,3,4,3,1,No,1,3,No,4,No,No
EMP00108,39,R&D,R&D Director,6959,6,3,1,1,Yes,1,1,No,4,Yes,Yes
EMP00109,42,Engineering,QA Engineer,7576,5,3,2,3,No,4,3,No,2,No,No
EMP00110,30,Sales,Sales Representative,5210,1,3,2,3,No,3,2,No,5,No,No
EMP00111,43,HR,HR Specialist,8427,2,4,1,3,No,4,2,No,1,No,No
EMP00112,51,Marketing,Brand Manager,8863,10,1,4,3,No,1,1,No,1,Yes,No
EMP00113,34,R&D,R&D Director,6787,3,1,4,4,No,1,1,No,5,Yes,Yes
EMP00114,42,Engineering,QA Engineer,8556,4,1,1,3,No,3,4,No,4,Yes,No
EMP00115,58,Engineering,QA Engineer,11728,10,3,2,3,No,1,1,No,1,No,No
EMP00116,31,Sales,Sales Executive,5106,3,4,2,2,No,2,4,Yes,5,Yes,No
EMP00117,46,Marketing,Brand Manager,8342,1,3,3,4,Yes,4,1,No,2,No,Yes
EMP00118,45,R&D,Lab Technician,9324,15,1,2,1,Yes,1,4,Yes,1,No,No
EMP00119,23,Marketing,Marketing Specialist,3230,2,4,3,3,No,4,2,No,4,Yes,No
EMP00120,37,Engineering,DevOps Specialist,7293,10,2,3,3,No,4,3,Yes,4,Yes,No
EMP00121,53,Sales,Sales Executive,11193,11,1,4,3,No,1,4,No,2,Yes,No
EMP00122,41,Sales,Account Manager,7090,2,3,2,4,No,3,2,No,1,Yes,No
EMP00123,36,Engineering,DevOps Specialist,6756,8,1,1,1,Yes,3,3,No,1,No,Yes
EMP00124,54,R&D,R&D Director,10829,15,1,4,1,No,3,3,No,3,No,No
EMP00125,51,Marketing,Marketing Specialist,10715,10,3,2,2,Yes,2,3,No,4,Yes,Yes
EMP00126,25,R&D,Lab Technician,5118,4,4,3,1,No,4,1,No,2,No,No
EMP00127,38,Sales,Sales Executive,7233,8,3,3,2,No,4,1,No,2,No,No
EMP00128,43,R&D,Research Scientist,9179,2,4,3,1,No,4,2,No,1,Yes,No
EMP00129,24,Sales,Sales Representative,3511,3,1,4,2,Yes,3,4,No,4,Yes,Yes
EMP00130,55,Sales,Account Manager,9921,1,1,1,3,No,1,2,No,4,No,No
EMP00131,55,Sales,Sales Executive,10727,2,4,4,1,No,1,1,No,3,No,No
EMP00132,49,Marketing,Marketing Specialist,8599,13,2,1,4,No,3,4,No,3,No,No
EMP00133,25,Sales,Sales Representative,4741,4,1,1,3,No,1,4,No,3,Yes,No
EMP00134,56,Marketing,Marketing Specialist,11557,13,1,2,1,No,3,3,No,3,Yes,No
EMP00135,39,Marketing,Brand Manager,6963,2,2,4,1,No,1,2,No,4,No,No
EMP00136,28,Engineering,Software Engineer,4603,7,1,4,4,Yes,2,1,No,5,Yes,No
EMP00137,53,R&D,Research Scientist,9707,3,4,1,1,No,2,2,No,4,No,No
EMP00138,35,R&D,Research Scientist,7522,3,4,1,4,Yes,4,2,No,2,Yes,No
EMP00139,24,HR,HR Manager,3835,1,4,1,2,No,2,3,No,2,Yes,Yes
EMP00140,22,Engineering,DevOps Specialist,4083,1,1,4,4,No,3,1,No,4,No,No
EMP00141,47,Marketing,Marketing Specialist,9653,7,3,4,3,Yes,1,1,No,3,Yes,No
EMP00142,23,Sales,Sales Executive,5117,2,1,4,4,No,1,1,Yes,4,No,No
EMP00143,52,Sales,Sales Executive,9110,9,2,2,4,No,4,2,No,1,No,No
EMP00144,46,Sales,Account Manager,8830,2,2,4,1,Yes,2,4,No,5,No,No
EMP00145,32,Sales,Sales Representative,6600,11,4,3,4,No,3,2,No,1,No,Yes
EMP00146,32,HR,HR Specialist,5300,11,4,1,4,No,3,2,No,1,No,No
EMP00147,22,Marketing,Brand Manager,3016,1,1,1,3,No,4,2,Yes,4,No,No
EMP00148,45,R&D,Research Scientist,8767,6,3,3,2,No,4,1,No,5,No,Yes
EMP00149,36,R&D,Lab Technician,6265,1,2,3,4,No,1,1,No,2,No,No
EMP00150,46,Engineering,DevOps Specialist,9398,4,3,4,3,No,1,3,Yes,3,Yes,No
EMP00151,56,HR,HR Specialist,10264,10,1,3,2,Yes,3,4,No,2,No,No
EMP00152,49,Marketing,Brand Manager,8978,3,2,4,1,Yes,4,3,No,3,Yes,No
EMP00153,48,Sales,Account Manager,9932,5,3,3,2,No,1,1,Yes,2,Yes,No
EMP00154,59,Marketing,Brand Manager,11520,2,3,2,4,No,4,3,No,3,No,Yes
EMP00155,42,Engineering,QA Engineer,7695,5,3,3,3,No,1,4,No,2,No,No
EMP00156,39,Marketing,Brand Manager,7030,2,4,3,3,No,3,2,No,2,No,No
EMP00157,27,Engineering,Tech Lead,5441,6,1,2,1,Yes,3,3,No,3,Yes,No
EMP00158,54,Sales,Sales Representative,11168,10,2,1,2,No,3,1,No,4,No,No
EMP00159,53,Marketing,Marketing Specialist,9276,3,2,3,2,Yes,3,3,No,3,Yes,Yes
EMP00160,43,Marketing,Marketing Specialist,8095,1,2,2,1,No,1,4,Yes,2,Yes,No
EMP00161,55,R&D,R&D Director,10310,2,1,2,4,Yes,1,1,Yes,4,Yes,No
EMP00162,31,R&D,R&D Director,6179,1,1,4,3,Yes,3,1,No,3,No,Yes
EMP00163,59,HR,HR Specialist,11469,3,1,4,4,No,3,3,No,3,Yes,No
EMP00164,27,Sales,Sales Representative,5037,6,3,2,4,No,3,1,No,4,Yes,No
EMP00165,27,Engineering,Software Engineer,5729,6,4,3,1,Yes,4,3,Yes,3,No,No
EMP00166,27,Engineering,QA Engineer,5200,6,1,4,1,No,1,1,No,2,No,No
EMP00167,38,Marketing,Brand Manager,6298,10,1,2,4,No,1,1,No,4,Yes,No
EMP00168,44,Engineering,Software Engineer,7485,15,3,1,1,Yes,2,3,No,1,No,Yes
EMP00169,37,HR,HR Specialist,6455,15,2,2,1,No,2,3,No,4,Yes,No
EMP00170,48,Marketing,Marketing Specialist,9900,10,4,2,4,Yes,4,1,No,4,No,Yes
EMP00171,45,Marketing,Marketing Specialist,8956,12,4,4,1,No,1,4,No,4,No,No
EMP00172,31,Marketing,Marketing Specialist,5827,10,4,2,3,No,4,1,No,3,No,No
EMP00173,23,Engineering,Tech Lead,4942,2,1,4,4,No,2,3,No,1,No,No
EMP00174,46,Sales,Sales Representative,7987,8,2,3,3,No,4,3,No,2,No,No
EMP00175,43,Engineering,DevOps Specialist,8928,2,2,3,3,No,4,2,No,3,No,No
EMP00176,44,Engineering,Software Engineer,8240,13,2,4,1,Yes,4,4,Yes,5,No,No
EMP00177,30,Sales,Account Manager,6298,9,4,3,2,No,3,4,No,2,No,Yes
EMP00178,37,HR,HR Specialist,6851,6,1,3,3,Yes,2,1,No,5,No,No
EMP00179,34,Marketing,Brand Manager,6221,6,2,1,2,Yes,3,2,No,5,Yes,No
EMP00180,30,Sales,Sales Representative,6035,9,2,3,1,No,4,1,No,4,No,Yes
EMP00181,27,Engineering,Software Engineer,4099,6,1,1,3,Yes,3,4,No,2,No,No
EMP00182,36,Sales,Sales Executive,7301,2,3,1,3,No,1,2,No,1,No,No
EMP00183,40,Sales,Sales Representative,7936,3,2,4,1,No,1,2,No,4,No,Yes
EMP00184,59,Sales,Sales Executive,10767,8,3,4,2,No,4,1,No,3,No,Yes
EMP00185,59,R&D,Research Scientist,11445,3,3,2,1,No,1,3,No,4,No,Yes
EMP00186,24,Engineering,DevOps Specialist,3976,3,1,4,4,No,4,3,Yes,3,No,No
EMP00187,35,Sales,Sales Representative,5732,9,1,2,4,No,2,4,Yes,1,Yes,No
EMP00188,48,Sales,Sales Representative,9034,11,2,1,1,No,2,4,No,5,Yes,No
EMP00189,40,R&D,R&D Director,6900,12,1,4,1,No,4,3,No,1,No,Yes
EMP00190,47,Sales,Sales Representative,9533,1,1,2,3,Yes,1,2,No,5,Yes,No
EMP00191,23,HR,HR Specialist,3662,2,1,4,2,No,4,2,Yes,4,No,No
EMP00192,30,HR,HR Specialist,5626,9,2,1,2,No,3,2,No,5,Yes,No
EMP00193,50,HR,HR Manager,9262,13,4,1,4,Yes,1,1,No,4,Yes,No
EMP00194,32,HR,HR Specialist,6720,3,3,2,4,No,2,2,No,4,No,No
EMP00195,56,Marketing,Marketing Specialist,10218,7,4,3,4,Yes,3,3,No,3,Yes,Yes
EMP00196,46,HR,HR Specialist,8816,10,1,1,1,No,4,2,No,1,Yes,Yes
EMP00197,43,R&D,Lab Technician,9169,12,1,1,3,Yes,4,1,No,5,Yes,Yes
EMP00198,43,R&D,Lab Technician,7244,15,2,4,4,No,4,1,No,5,No,Yes
EMP00199,52,Engineering,Software Engineer,9698,8,4,1,1,Yes,4,2,No,4,No,No
EMP00200,40,Marketing,Marketing Specialist,7408,13,4,1,4,No,2,2,No,5,Yes,No
EMP00201,54,Sales,Sales Representative,10902,14,3,4,3,No,3,3,No,2,No,No
EMP00202,30,Marketing,Brand Manager,5151,9,3,3,4,No,1,1,Yes,3,Yes,No
EMP00203,51,HR,HR Manager,9186,12,2,3,1,No,4,2,No,2,Yes,No
EMP00204,45,Marketing,Brand Manager,7923,5,4,4,1,No,3,4,No,5,No,No
EMP00205,35,R&D,R&D Director,6568,9,4,3,1,No,2,4,No,1,Yes,No
EMP00206,43,HR,HR Specialist,8574,1,2,4,4,Yes,2,4,No,1,No,No
EMP00207,28,HR,HR Manager,5072,4,3,1,4,Yes,4,3,No,2,Yes,No
EMP00208,38,Marketing,Brand Manager,6334,5,2,3,3,No,3,2,No,3,No,No
EMP00209,57,HR,HR Specialist,11381,10,3,4,3,No,1,2,No,4,Yes,No
EMP00210,45,Marketing,Brand Manager,9409,5,1,3,1,No,4,4,No,5,Yes,No
EMP00211,24,Engineering,QA Engineer,4182,3,4,2,2,Yes,2,3,No,4,No,No
EMP00212,26,Marketing,Brand Manager,4172,4,1,4,4,Yes,3,1,No,5,No,No
EMP00213,58,R&D,Lab Technician,11105,5,1,1,3,No,3,2,No,4,Yes,No
EMP00214,44,HR,HR Specialist,9364,5,1,1,3,No,2,2,No,1,Yes,Yes
EMP00215,38,Engineering,DevOps Specialist,7609,4,4,3,4,No,4,3,No,3,No,No
EMP00216,23,Sales,Sales Executive,3201,2,1,1,2,No,4,2,No,4,No,Yes
EMP00217,22,Marketing,Marketing Specialist,4181,1,2,2,1,No,1,3,No,5,Yes,No
EMP00218,24,Sales,Account Manager,5151,3,3,1,4,No,3,1,No,4,No,Yes
EMP00219,26,HR,HR Manager,3879,5,3,3,3,Yes,2,2,Yes,1,No,No
EMP00220,23,HR,HR Manager,4066,2,1,1,4,No,2,1,No,5,No,No
EMP00221,39,HR,HR Manager,8269,6,3,2,1,No,4,4,No,3,Yes,No
EMP00222,59,R&D,Research Scientist,12041,13,1,4,3,Yes,1,1,No,3,Yes,Yes
EMP00223,50,Engineering,DevOps Specialist,10022,14,4,3,3,No,4,3,No,5,No,No
EMP00224,35,Engineering,Software Engineer,6743,12,4,2,3,No,4,4,No,3,Yes,No
EMP00225,38,Engineering,QA Engineer,6825,12,4,2,2,Yes,1,1,Yes,1,No,No
EMP00226,46,R&D,Research Scientist,8774,4,2,1,3,No,2,4,No,3,No,No
EMP00227,38,Marketing,Marketing Specialist,8047,10,4,1,2,No,2,1,No,3,No,Yes
EMP00228,58,Marketing,Brand Manager,11413,8,4,2,4,Yes,4,2,Yes,5,No,No
EMP00229,45,Sales,Sales Representative,8204,14,3,3,4,No,3,3,Yes,4,No,No
EMP00230,28,Engineering,Software Engineer,6018,7,3,4,4,No,4,1,No,4,Yes,No
EMP00231,59,Marketing,Brand Manager,11209,3,1,2,3,No,2,3,Yes,5,No,No
EMP00232,28,Marketing,Marketing Specialist,5045,7,3,4,3,No,3,1,Yes,2,Yes,No
EMP00233,48,Sales,Account Manager,8685,13,3,2,2,No,2,1,Yes,3,No,No
EMP00234,24,Sales,Sales Executive,3809,3,3,4,4,No,4,4,No,5,No,No
EMP00235,37,Sales,Account Manager,7314,14,2,3,4,No,1,3,No,2,Yes,No
EMP00236,38,R&D,Lab Technician,7524,14,4,2,3,Yes,4,4,No,1,Yes,Yes
EMP00237,22,Sales,Sales Representative,4725,1,3,2,4,No,2,4,Yes,2,No,No
EMP00238,30,Sales,Account Manager,6437,5,1,4,3,No,1,2,No,3,No,Yes
EMP00239,28,Marketing,Brand Manager,5268,3,2,4,3,No,1,3,No,4,Yes,No
EMP00240,50,HR,HR Manager,9322,2,2,3,3,Yes,1,4,No,1,No,No
EMP00241,58,Sales,Sales Representative,12127,4,1,4,3,No,3,1,No,2,Yes,Yes
EMP00242,32,Engineering,DevOps Specialist,5668,11,3,4,1,Yes,4,2,No,3,Yes,No
EMP00243,23,HR,HR Specialist,3422,2,4,4,4,No,2,3,No,5,Yes,No
EMP00244,39,R&D,Lab Technician,7089,6,1,2,2,No,1,3,Yes,5,No,No
EMP00245,33,Sales,Account Manager,6212,2,4,4,1,Yes,4,4,No,4,No,No
EMP00246,46,Engineering,DevOps Specialist,8972,6,3,1,4,No,4,4,Yes,3,No,No
EMP00247,54,Sales,Sales Representative,9748,4,1,2,1,No,4,3,No,5,No,Yes
EMP00248,51,Engineering,DevOps Specialist,10033,3,3,2,1,No,3,4,Yes,3,No,No
EMP00249,39,Sales,Sales Representative,8223,8,3,1,4,No,1,1,Yes,5,Yes,No
EMP00250,48,R&D,Research Scientist,9581,1,3,3,3,No,4,1,No,3,No,No
EMP00251,29,Marketing,Brand Manager,4727,8,3,4,2,Yes,4,2,No,5,No,Yes
EMP00252,45,Engineering,Software Engineer,8783,12,3,1,2,Yes,4,3,No,4,No,No
EMP00253,39,Engineering,QA Engineer,7205,14,2,2,3,Yes,3,1,Yes,5,No,Yes
EMP00254,25,Sales,Sales Executive,5137,4,4,4,1,No,2,3,No,1,No,No
EMP00255,34,Engineering,QA Engineer,6974,9,2,3,3,No,2,1,No,4,Yes,No
EMP00256,40,Sales,Account Manager,7431,15,2,4,4,Yes,3,3,Yes,5,Yes,No
EMP00257,53,Engineering,Software Engineer,9744,12,4,3,1,Yes,3,4,No,5,No,Yes
EMP00258,41,Marketing,Marketing Specialist,8000,8,3,4,2,No,2,3,No,4,Yes,No
EMP00259,34,Marketing,Marketing Specialist,7075,12,4,1,1,Yes,4,4,No,4,Yes,Yes
EMP00260,22,Engineering,DevOps Specialist,3285,1,1,4,3,Yes,2,3,Yes,5,No,Yes
EMP00261,34,Sales,Account Manager,5477,2,3,4,3,No,4,3,No,2,Yes,No
EMP00262,59,HR,HR Specialist,10819,1,4,1,3,No,4,2,No,5,Yes,No
EMP00263,45,Engineering,QA Engineer,9212,11,2,1,3,No,3,2,No,5,No,No
EMP00264,32,Marketing,Brand Manager,6608,4,2,4,4,No,2,1,No,1,No,Yes
EMP00265,41,Sales,Sales Executive,8657,7,2,1,2,Yes,2,4,No,5,No,No
EMP00266,51,Engineering,QA Engineer,9361,5,4,1,2,No,4,1,No,2,No,No
EMP00267,31,Engineering,Tech Lead,4831,10,4,3,3,No,1,1,No,2,Yes,No
EMP00268,22,Engineering,DevOps Specialist,4944,1,1,4,3,No,3,2,No,2,No,Yes
EMP00269,43,Sales,Sales Executive,8889,5,2,1,2,No,1,4,No,4,No,No
EMP00270,25,Engineering,DevOps Specialist,4903,4,2,1,4,No,2,1,No,4,No,No
EMP00271,55,Sales,Sales Representative,11542,11,1,3,3,Yes,3,3,No,5,No,Yes
EMP00272,58,HR,HR Manager,11489,14,4,2,2,Yes,1,1,No,2,Yes,No
EMP00273,55,R&D,Research Scientist,10585,4,4,1,3,Yes,1,2,No,1,No,No
EMP00274,32,R&D,R&D Director,6339,7,3,4,3,Yes,2,2,Yes,5,No,No
EMP00275,24,Marketing,Brand Manager,3578,3,2,2,4,Yes,1,4,No,5,No,No
EMP00276,57,Marketing,Brand Manager,10694,15,2,3,1,No,2,1,No,1,Yes,Yes
EMP00277,30,HR,HR Specialist,5544,8,4,1,4,Yes,3,1,No,5,Yes,Yes
EMP00278,44,Marketing,Marketing Specialist,9069,1,3,2,2,No,4,2,No,5,Yes,No
EMP00279,54,Marketing,Marketing Specialist,10205,13,3,1,3,No,1,1,No,4,Yes,No
EMP00280,34,Marketing,Brand Manager,7207,1,4,2,3,Yes,3,3,No,3,No,Yes
EMP00281,27,HR,HR Specialist,4521,6,2,2,4,Yes,3,4,No,4,Yes,No
EMP00282,55,Marketing,Marketing Specialist,10120,7,3,1,2,Yes,3,1,No,1,Yes,Yes
EMP00283,56,HR,HR Specialist,11698,10,4,4,2,No,2,4,No,3,No,No
EMP00284,37,Sales,Sales Representative,7354,3,3,3,3,No,4,4,No,3,Yes,No
EMP00285,31,Engineering,DevOps Specialist,4994,7,1,2,2,No,2,3,No,1,Yes,No
EMP00286,31,HR,HR Specialist,6352,3,1,4,3,Yes,4,2,No,1,Yes,Yes
EMP00287,41,Sales,Sales Representative,7615,13,1,1,1,No,4,4,No,4,Yes,Yes
EMP00288,48,HR,HR Specialist,8380,11,3,4,2,Yes,1,4,No,4,No,No
EMP00289,32,Sales,Account Manager,5693,7,4,2,1,Yes,4,2,No,3,No,Yes
EMP00290,53,R&D,Research Scientist,10047,2,3,1,1,Yes,1,4,No,5,No,No
EMP00291,42,Marketing,Brand Manager,8372,9,1,4,1,No,2,3,No,5,No,No
EMP00292,40,Engineering,QA Engineer,7980,4,4,4,2,No,3,3,No,2,No,No
EMP00293,37,Sales,Account Manager,6949,14,4,2,3,No,2,1,No,2,No,Yes
EMP00294,33,HR,HR Specialist,6086,11,3,1,1,No,4,2,No,5,No,Yes
